	id_account	name.3	period	title.3	description.3	Cidade_dos_seguidores	valor	extract_date	period_extraction	year	day	id_tb_midia
107	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Rio Branco, Acre (state)	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
108	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Itaipava, Rio de Janeiro (state)		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
109	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Itaipava, Rio de Janeiro (state)	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
110	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Londrina, Paraná		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
111	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Londrina, Paraná	6.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
112	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Brasília, Federal District		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
113	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Brasília, Federal District	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
114	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Kuala Lumpur, Kuala Lumpur		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
115	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Kuala Lumpur, Kuala Lumpur	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
116	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Sorocaba, São Paulo (state)		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
117	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Sorocaba, São Paulo (state)	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
118	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Sobradinho, Federal District		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
119	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Sobradinho, Federal District	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
120	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.São Bernardo do Campo, São Paulo (state)		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
121	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.São Bernardo do Campo, São Paulo (state)	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
122	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Natal, Rio Grande do Norte		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
123	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Natal, Rio Grande do Norte	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
124	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Pôrto União, Santa Catarina		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
125	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Pôrto União, Santa Catarina	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
126	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Salvador, Bahia		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
127	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Salvador, Bahia	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
128	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Hunters Creek, Florida		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
129	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Hunters Creek, Florida	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
130	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Petrópolis, Rio de Janeiro (state)		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
131	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Petrópolis, Rio de Janeiro (state)	56.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
132	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Portão, Rio Grande do Sul		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
133	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Portão, Rio Grande do Sul	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
134	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Alvorada, Rio Grande do Sul		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
135	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Alvorada, Rio Grande do Sul	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
136	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Itabuna, Bahia		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
137	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Itabuna, Bahia	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
138	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Canoas, Rio Grande do Sul		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
139	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Canoas, Rio Grande do Sul	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
140	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Couto de Magalhães de Minas, Minas Gerais		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
141	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Couto de Magalhães de Minas, Minas Gerais	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
142	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Passaic, New Jersey		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
143	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Passaic, New Jersey	2.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
144	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.São Caitano, Pernambuco		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
145	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.São Caitano, Pernambuco	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
146	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Suzano, São Paulo (state)		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
147	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Suzano, São Paulo (state)	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
148	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Tulcán, Carchi Province		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
