	id	name	period	title	description	value	extract_date	period_extraction	year	day	id_tb_midias
106	17892179540901363	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	0	2024-05-20	05	2024	20	1789217954090136320240520video_viewslifetime
107	17892179540901363	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	96	2024-05-20	05	2024	20	1789217954090136320240520impressionslifetime
108	17892179540901363	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	92	2024-05-20	05	2024	20	1789217954090136320240520reachlifetime
109	17892179540901363	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	0	2024-05-20	05	2024	20	1789217954090136320240520savedlifetime
110	17953225589736051	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	0	2024-05-20	05	2024	20	1795322558973605120240520taps_forwardlifetime
111	17953225589736051	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	0	2024-05-20	05	2024	20	1795322558973605120240520taps_backlifetime
112	17953225589736051	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	0	2024-05-20	05	2024	20	1795322558973605120240520exitslifetime
113	17953225589736051	replies	lifetime	Respostas	Número total de respostas ao story	0	2024-05-20	05	2024	20	1795322558973605120240520replieslifetime
114	17953225589736051	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	14	2024-05-20	05	2024	20	1795322558973605120240520engagementlifetime
115	17953225589736051	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	0	2024-05-20	05	2024	20	1795322558973605120240520video_viewslifetime
116	17953225589736051	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	102	2024-05-20	05	2024	20	1795322558973605120240520impressionslifetime
117	17953225589736051	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	92	2024-05-20	05	2024	20	1795322558973605120240520reachlifetime
118	17953225589736051	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	2	2024-05-20	05	2024	20	1795322558973605120240520savedlifetime
119	18039366277634967	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	0	2024-05-20	05	2024	20	1803936627763496720240520taps_forwardlifetime
120	18039366277634967	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	0	2024-05-20	05	2024	20	1803936627763496720240520taps_backlifetime
121	18039366277634967	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	0	2024-05-20	05	2024	20	1803936627763496720240520exitslifetime
122	18039366277634967	replies	lifetime	Respostas	Número total de respostas ao story	0	2024-05-20	05	2024	20	1803936627763496720240520replieslifetime
123	18039366277634967	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	6	2024-05-20	05	2024	20	1803936627763496720240520engagementlifetime
124	18039366277634967	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	0	2024-05-20	05	2024	20	1803936627763496720240520video_viewslifetime
125	18039366277634967	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	63	2024-05-20	05	2024	20	1803936627763496720240520impressionslifetime
