	id	id_midia	id_insight	extract_date	period_extraction	year	day	definicao	value
193	17970826016660160202024525	17970826016660160	20	2024-05-25	5	2024	25	video_views	0
194	17970826016660160102024525	17970826016660160	10	2024-05-25	5	2024	25	impressions	56
195	17970826016660160142024525	17970826016660160	14	2024-05-25	5	2024	25	reach	43
196	17970826016660160162024525	17970826016660160	16	2024-05-25	5	2024	25	saved	0
197	17891122685897851182024525	17891122685897851	18	2024-05-25	5	2024	25	taps_forward	0
198	17891122685897851172024525	17891122685897851	17	2024-05-25	5	2024	25	taps_back	0
199	1789112268589785172024525	17891122685897851	7	2024-05-25	5	2024	25	exits	0
200	17891122685897851152024525	17891122685897851	15	2024-05-25	5	2024	25	replies	0
201	1789112268589785162024525	17891122685897851	6	2024-05-25	5	2024	25	engagement	11
202	17891122685897851202024525	17891122685897851	20	2024-05-25	5	2024	25	video_views	0
203	17891122685897851102024525	17891122685897851	10	2024-05-25	5	2024	25	impressions	84
204	17891122685897851142024525	17891122685897851	14	2024-05-25	5	2024	25	reach	71
205	17891122685897851162024525	17891122685897851	16	2024-05-25	5	2024	25	saved	0
206	18112975201322049182024525	18112975201322049	18	2024-05-25	5	2024	25	taps_forward	0
207	18112975201322049172024525	18112975201322049	17	2024-05-25	5	2024	25	taps_back	0
208	1811297520132204972024525	18112975201322049	7	2024-05-25	5	2024	25	exits	0
209	18112975201322049152024525	18112975201322049	15	2024-05-25	5	2024	25	replies	0
210	1811297520132204962024525	18112975201322049	6	2024-05-25	5	2024	25	engagement	10
211	18112975201322049202024525	18112975201322049	20	2024-05-25	5	2024	25	video_views	0
212	18112975201322049102024525	18112975201322049	10	2024-05-25	5	2024	25	impressions	69
213	18112975201322049142024525	18112975201322049	14	2024-05-25	5	2024	25	reach	64
214	18112975201322049162024525	18112975201322049	16	2024-05-25	5	2024	25	saved	0
215	18082369435378017182024525	18082369435378017	18	2024-05-25	5	2024	25	taps_forward	0
216	18082369435378017172024525	18082369435378017	17	2024-05-25	5	2024	25	taps_back	0
217	1808236943537801772024525	18082369435378017	7	2024-05-25	5	2024	25	exits	0
218	18082369435378017152024525	18082369435378017	15	2024-05-25	5	2024	25	replies	0
219	1808236943537801762024525	18082369435378017	6	2024-05-25	5	2024	25	engagement	7
220	18082369435378017202024525	18082369435378017	20	2024-05-25	5	2024	25	video_views	0
221	18082369435378017102024525	18082369435378017	10	2024-05-25	5	2024	25	impressions	59
222	18082369435378017142024525	18082369435378017	14	2024-05-25	5	2024	25	reach	53
223	18082369435378017162024525	18082369435378017	16	2024-05-25	5	2024	25	saved	0
