	id_midia	name	period	title	description	id	value	extract_date	period_extraction	year	day	id_tb_midias
7	17997324461240753	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	17997324461240753/insights/reach/lifetime	78.0	2024-05-25	05	2024	25	1799732446124075320240525reachlifetime
8	17997324461240753	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	17997324461240753/insights/saved/lifetime	1.0	2024-05-25	05	2024	25	1799732446124075320240525savedlifetime
0	17982183917471535	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	17982183917471535/insights/taps_forward/lifetime	0.0	2024-05-25	05	2024	25	1798218391747153520240525taps_forwardlifetime
1	17982183917471535	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	17982183917471535/insights/taps_back/lifetime	0.0	2024-05-25	05	2024	25	1798218391747153520240525taps_backlifetime
2	17982183917471535	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	17982183917471535/insights/exits/lifetime	0.0	2024-05-25	05	2024	25	1798218391747153520240525exitslifetime
3	17982183917471535	replies	lifetime	Respostas	Número total de respostas ao story	17982183917471535/insights/replies/lifetime	0.0	2024-05-25	05	2024	25	1798218391747153520240525replieslifetime
4	17982183917471535	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	17982183917471535/insights/engagement/lifetime	8.0	2024-05-25	05	2024	25	1798218391747153520240525engagementlifetime
5	17982183917471535	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	17982183917471535/insights/video_views/lifetime	0.0	2024-05-25	05	2024	25	1798218391747153520240525video_viewslifetime
6	17982183917471535	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	17982183917471535/insights/impressions/lifetime	58.0	2024-05-25	05	2024	25	1798218391747153520240525impressionslifetime
7	17982183917471535	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	17982183917471535/insights/reach/lifetime	52.0	2024-05-25	05	2024	25	1798218391747153520240525reachlifetime
8	17982183917471535	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	17982183917471535/insights/saved/lifetime	1.0	2024-05-25	05	2024	25	1798218391747153520240525savedlifetime
0	17873173155025720	reach	lifetime	Contas alcançadas	O número de contas únicas que viram este reel pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações do seu reel pelas mesmas contas. Esta métrica é estimada.	17873173155025720/insights/reach/lifetime	309.0	2024-05-25	05	2024	25	1787317315502572020240525reachlifetime
1	17873173155025720	saved	lifetime	Salvo	O número de vezes que seu reel foi salvo.	17873173155025720/insights/saved/lifetime	3.0	2024-05-25	05	2024	25	1787317315502572020240525savedlifetime
0	17892179540901363	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	17892179540901363/insights/taps_forward/lifetime	0.0	2024-05-25	05	2024	25	1789217954090136320240525taps_forwardlifetime
1	17892179540901363	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	17892179540901363/insights/taps_back/lifetime	0.0	2024-05-25	05	2024	25	1789217954090136320240525taps_backlifetime
2	17892179540901363	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	17892179540901363/insights/exits/lifetime	0.0	2024-05-25	05	2024	25	1789217954090136320240525exitslifetime
3	17892179540901363	replies	lifetime	Respostas	Número total de respostas ao story	17892179540901363/insights/replies/lifetime	0.0	2024-05-25	05	2024	25	1789217954090136320240525replieslifetime
4	17892179540901363	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	17892179540901363/insights/engagement/lifetime	4.0	2024-05-25	05	2024	25	1789217954090136320240525engagementlifetime
5	17892179540901363	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	17892179540901363/insights/video_views/lifetime	0.0	2024-05-25	05	2024	25	1789217954090136320240525video_viewslifetime
6	17892179540901363	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	17892179540901363/insights/impressions/lifetime	96.0	2024-05-25	05	2024	25	1789217954090136320240525impressionslifetime
7	17892179540901363	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	17892179540901363/insights/reach/lifetime	92.0	2024-05-25	05	2024	25	1789217954090136320240525reachlifetime
